Investor Name,Geography,Check Size,Stages,Investment Thesis,Fake Email
I XCEL Ltd Startup studio,UK Pakistan +9,$25k to $100k,1. Idea or Patent 2. Prototype +4,We invest in businesses and founding teams with significant potential to grow and create value through socio economic...,ixcelltdstartupstudio@gmail.com
Georgian VC firm,Canada USA +2,$25M to $75M,4. Scaling 5. Growth +1,"We invest in high-growth software and technology companies that harness the power of data and trust. 

We invest in B2B...",invest@georgian.com
Pear Tree Ventures VC firm,USA,$50k to $250k,1. Idea or Patent 2. Prototype +2,"We invest in emerging web3, AI and frontier technology startups. We strive to support the bold founders willing to...",info@peartree.com
Alberts Impact Venture... VC firm,Australia New Zealand,$80k to $800k,1. Idea or Patent 2. Prototype +2,"We invest in founders with an impact focus: 
- Environmental Sustainability 
- Mental Health & Wellbeing 
- Arts, Music...",invest@albertsimpactventure.com
TRTL Ventures VC firm,India UAE,$150k to $200k,2. Prototype 3. Early Revenue +1,"We invest in data-driven Indian founders and startups, sector agnostic.",trtl@hotmail.com
IOVC VC firm,USA,$10k to $300k,1. Idea or Patent 2. Prototype +2,We invest in US-based enterprise/SaaS startups with early MRR/ARR,iovc@hotmail.com
Maersk Growth Corporate VC,USA Austria +19,$100k to $5M,2. Prototype 3. Early Revenue +3,"We invest in early-stage startups that are digitizing, democratizing and decarbonizing supply chains....",hello@maerskgrowthcorporatevc.com
"Business Startup Suppo... Incubator, Accelerator",Vietnam,$100k to $1M,3. Early Revenue 4. Scaling +1,We accelerate all kinds of startups following the program which we collaborate with...,businessstartupsuppoubatoraccelerator@hotmail.com
Atland Ventures VC firm,USA,$25k to $50k,2. Prototype 3. Early Revenue,We invest in companies solving problems felt by Gen Z. We invest $25k into pre-seed/seed stage companies from any...,atland@hotmail.com
Eutopia VC firm,USA Belgium +14,$2M to $5M,3. Early Revenue 4. Scaling,"We invest in consumer startups that are good for me, good for the planet and good for society, with €1M-10M annual...",eutopia@hotmail.com
Pact VC firm,UK Germany +9,$750k to $1.5M,1. Idea or Patent 2. Prototype +2,We invest in purpose-driven companies that positively shape the future of work and life. Its ABC themes cover Access...,pact@hotmail.com
Reimann Investors VC firm,Austria Germany +1,$2M to $8M,4. Scaling 5. Growth +1,"We invest in high-growth digital companies from the premium consumer commerce, FinTech, SaaS and digital services...",reimanninvestors@gmail.com
Dheeraj Sidana Solo angel,USA India,$1k to $50k,1. Idea or Patent 2. Prototype +1,"I invest in SAAS, India/US",dheeraj@sidana.com
P101 Ventures VC firm,Italy Spain +5,$1M to $5M,3. Early Revenue,We invest in European digital tech startups with $1M+ ARR,hello@p101.com
SurgeDAO Angel network,India,$10k to $50k,1. Idea or Patent 2. Prototype,"We invest in Pre-Seed rounds and Early-Stage companies that operate in the web3 space, and more specifically, operating...",invest@surgedao.com
Sway Ventures VC firm,USA,$250k to $5M,3. Early Revenue 4. Scaling,"We invest in AI and data in real estate tech, fintech, supply chain tech, consumer retail tech verticals, at the Seed...",invest@sway.com
New Mexico Angels Angel network,USA,$100k to $300k,2. Prototype 3. Early Revenue +1,We invest in companies in New Mexico and the Southwest region. We are a private angel investment...,info@newmexicoangels.com
Brighter Capital Family office,USA,$50k to $250k,2. Prototype 3. Early Revenue +1,"We invest in
- SaaS
- Deep Tech 
- Infrastructure, Security, AI 
- Digital Health
- Scalable Education...",contact@brighter.com
Faraday Venture Partne... VC firm,Germany Austria +32,$300k to $600k,3. Early Revenue,We invest in early-stage startups with some innovation and at least 6 months of commercial traction across EU. We are...,contact@faradayventurepartne.com
Nordic FoodTech VC VC firm,Finland Sweden +6,$200k to $1M,1. Idea or Patent 2. Prototype +1,We invest in early-stage Nordic and Baltic tech companies solving hard problems in global food...,info@nordicfoodtechvc.com
EcoMachines Ventures Family office,UK USA +3,$50k to $250k,1. Idea or Patent 2. Prototype +1,"We invest in early-stage startups with the focus on: fintech, blockchain, hardware, future of work solutions....",contact@ecomachines.com
FTTF Fraunhofer Tech T... VC firm,Germany,$250k to $250k,1. Idea or Patent 2. Prototype +1,"We invest in deep-tech, pre-seed startups whose business model is based on some sort of Fraunhofer technology, usually...",fttffraunhofertecht@hotmail.com
TechOperators VC firm,USA,$500k to $6M,1. Idea or Patent 2. Prototype +1,"We invest in early-stage, US-based cybersecurity startups.",techoperators@gmail.com
Unbridled Ventures VC firm,USA,$200k to $500k,3. Early Revenue 4. Scaling +1,"We invest in scalable, recurring or repeatable revenue businesses.",team@unbridled.com
RocketX Fund One VC firm,Netherlands Belgium +8,$100k to $5M,3. Early Revenue 4. Scaling +1,"We invest in companies active in the People & Revenue domain, preferably selling to start-ups and...",hello@rocketxfundone.com
365.fintech VC firm,Slovakia Czech Republic +10,$50k to $500k,3. Early Revenue 4. Scaling,"We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE,...",info@365fintech.com
Go Capital VC firm,France,$300k to $5M,1. Idea or Patent 2. Prototype +3,"We invest in Impact Maritime startups mainly based in France, as well as deeptech, digital and healtech startups in the...",go@gmail.com
Mayfield Fund VC firm,India USA,$2M to $10M,3. Early Revenue 4. Scaling +1,"We invest in:
- enterprise. SaaS, infra, dev ops, semi, networking, security
- consumer: eCommerce (subscription),...",contact@mayfieldfund.com
GoEx Venture Capital VC firm,USA,$50k to $200k,1. Idea or Patent,We invest in US consumer proptech startups at pre-seed.,team@goexventure.com
CRV VC firm,USA Israel +3,$100k to $50M,3. Early Revenue 2. Prototype +1,We invest in global companies typically in the post product stage of their life but write pre-seed -> B checks. Focus...,hello@crv.com
UniQuest Extension Fun... Other,Australia USA +1,$65k to $650k,2. Prototype 3. Early Revenue +1,We invest in technology companies with founders who have a strong connection to the University of Queensland (alumni or...,hello@uniquestextensionfunother.com
No Such Ventures VC firm,Netherlands Belgium +33,$2.5M to $10M,3. Early Revenue 4. Scaling +1,We invest in global companies that value our model of combining many high-profile entrepreneurs within one line in the...,hello@nosuch.com
Oltre Venture VC firm,Italy Spain +8,$1M to $3M,5. Growth 4. Scaling,"We invest in impact-driven, growth-stage European companies operating in all the sectors that provides services for the...",info@oltreventure.com
Concept Ventures VC firm,UK,$350k to $750k,2. Prototype 3. Early Revenue,"We invest in UK-based software companies with a global approach from day 1 changing the worlds of work, play and...",info@concept.com
Pentech VC firm,UK,$500k to $6M,3. Early Revenue 2. Prototype,We invest in teams who believe they can build a category leading software company. Our areas of interest include:...,team@pentech.com
Phoenix Venture Partne... VC firm,Kuwait Saudi Arabia +25,$100k to $3M,3. Early Revenue 4. Scaling +1,"We invest in seven technology sectors including Fintech & Insuretech, Healthtech, Agritech & Foodtech, Edtech,...",phoenixventurepartne@hotmail.com
Reazon Capital Corporate VC,Vietnam,$100k to $2M,3. Early Revenue 4. Scaling +1,"We invest in big markets with high scalability e.g. consumer retail, e-commerce, supply chain, fintech, healthcare,...",team@reazoncorporatevc.com
Vireo Ventures VC firm,Germany UK +27,$250k to $1M,2. Prototype 3. Early Revenue,"We invest in energy-tech including renewable energy production and storage, smart grid solutions, and applications...",contact@vireo.com
Vorsprung Climate VC firm,Germany Switzerland +1,$1M to $20M,4. Scaling 5. Growth +1,"We invest in firms that are actively making a positive impact through our triple impact framework:

1. Create Impact
2....",info@vorsprungclimate.com
Side Stage Ventures Angel network,Australia USA,$100k to $2M,2. Prototype 3. Early Revenue +1,"We invest at the intersection of creativity, technology and culture - a syndicate by founders, for founders. We bring...",sidestage@gmail.com
Pierre-Andréa Bozicas Solo angel,Canada USA +12,$1k to $10k,1. Idea or Patent 2. Prototype +1,I invest in product or service that democratizes the use of technology...,pierreandréa@bozicas.com
Evio.vc VC firm,USA UK,$200k to $1M,1. Idea or Patent 2. Prototype +1,"We invest in care providers, particularly for SMI, as well as provider tools, usually in the form of SaaS.
From there...",team@eviovc.com
FITEC VC firm,Italy,$5M to $25M,4. Scaling 5. Growth +1,"We invest in outstanding Italian high tech companies that intend to launch or consolidate expansion projects, favouring...",hello@fitec.com
Illera Ventures Family office,USA Japan +2,$50k to $500k,1. Idea or Patent 2. Prototype,"We invest in early stage medical-device companies with strong IP, market need and clear FDA regulatory...",invest@illera.com
Pitch VC VC firm,Australia,$8k to $50k,1. Idea or Patent 2. Prototype,We invest in early-stage startups. We are an industry agnostic early-stage venture capital firm investing up to $50K...,contact@pitchvc.com
Kima Ventures VC firm,France USA +2,$100k to $200k,1. Idea or Patent 2. Prototype +1,"We invest in early-stage startups with strong tech DNA, founded by French founders wherever they're in the world. We're...",contact@kima.com
Incisive Ventures VC firm,Kenya Nigeria +3,$50k to $500k,1. Idea or Patent 2. Prototype +1,We invest in technology companies that reduce friction at scale in the pre-seed and seed...,hello@isive.com
Cortado Ventures VC firm,USA,$100k to $750k,1. Idea or Patent 2. Prototype +1,"We invest in mid-continent B2B tech companies in the energy tech, logistics, and healthcare/life sciences sectors....",cortado@hotmail.com
Presto Ventures VC firm,Albania Azerbaijan +27,$300k to $2M,3. Early Revenue,We invest in B2B (SaaS) and marketplaces with a strong connection to CEE+ or CA,presto@gmail.com
4impact VC firm,Netherlands Germany +7,$500k to $3M,2. Prototype 3. Early Revenue,"We invest in European software startups that achieve tangible positive impact in environment, health, or...",hello@4impact.com
David Sargeant Solo angel,Canada USA +1,$1k to $300k,2. Prototype 3. Early Revenue +1,"I invest in early stage sports, Betting, Gambling businesses that need an active investor to help with their commercial...",david@sargeant.com
Alex Pang Solo angel,USA China +9,$1k to $200k,1. Idea or Patent 2. Prototype +4,"I invest in anything as long as there is opportunity. Basically industry agnostic & country agnostic, have experience...",alex@pang.com
StartCapital Partners VC firm,Netherlands,$100k to $500k,3. Early Revenue 2. Prototype,"We invest in owned IP. Technical person must be a shareholder. View on MRR, SaaS, NL ventures only. At least MVP...",startpartners@gmail.com
Heartcore Capital VC firm,Belgium Denmark +12,$100k to $5M,1. Idea or Patent 2. Prototype,"We invest in European early-stage technology startups: B2B, B2C, and deep tech. Our core fund invests in equity,...",invest@heartcore.com
Moonshots Capital VC firm,USA,$750k to $3M,3. Early Revenue 4. Scaling,"We invest in spacetech, deeptech, and fintech ventures with $1MM+ ARR.",info@moonshots.com
Elevation Capital Part... VC firm,France,$1M to $15M,4. Scaling 5. Growth +1,We invest €1m to €15m in startups with profitable growth.,team@elevationpart.com
MTE MedTech Entreprene... VC firm,USA Singapore +28,$200k to $2M,1. Idea or Patent 2. Prototype +1,"We invest in MedTech, Healthtech, Digital Health, Health Care in seed stage.",invest@mtemedtechentreprene.com
DHS Syndicate Angel network,UK,$25k to $150k,1. Idea or Patent 2. Prototype +4,"We invest in extraordinary founders, sector agnostic, prefer a lead VC in place where...",info@dhssyndicate.com
FirstCheck Africa VC firm,Nigeria Kenya +3,$50k to $250k,2. Prototype 1. Idea or Patent +1,We invest in early-stage technology startups in Africa with female or diverse co-founding...,team@firstcheckafrica.com
SP8CEVC VC firm,USA,$666k to $800k,1. Idea or Patent 2. Prototype +1,"We invest is space technology and human longevity.

We believe the emerging synergy of space technology and human...",hello@sp8cevc.com
Sketchnote Partners VC firm,Philippines Vietnam +6,$50k to $250k,3. Early Revenue 2. Prototype,"We invest in SaaS, Fintech, Agritech, Logistics, Edtech.

Our thesis is simple. We look for:
- amazing founders
- early...",sketchnotepartners@gmail.com
Gert Trekels Solo angel,Belgium Denmark +12,$1k to $200k,1. Idea or Patent 2. Prototype +1,I invest in software related companies,gert@trekels.com
PI Ventures VC firm,India,$250k to $2M,1. Idea or Patent 2. Prototype +1,"We invest in Artificial Intelligence, Machine Intelligence & IoT, as we rapidly see hardware and software products...",pi@hotmail.com
Olimp Capital Partners VC firm,Argentina Australia +9,$2M to $25M,4. Scaling 5. Growth +1,"We invest in the global Internet, hardware and financial technology industries.",team@olimppartners.com
In Revenue Capital VC firm,USA,$1M to $3M,3. Early Revenue,We empower early-stage B2B vertical SaaS startups by combining GTM excellence with Seed Stage venture...,inrevenue@hotmail.com
H/L Ventures VC firm,USA,$100k to $1.5M,1. Idea or Patent 2. Prototype +3,"We invest in US-based start-up companies building at the nexus of impact, growth, and diversity. Within our...",hl@hotmail.com
Spring Invest VC firm,France,$500k to $3M,3. Early Revenue 4. Scaling,We invest in French software companies. Focus on the future of commerce.,springinvest@hotmail.com
Shagun Jindal Solo angel,USA India,$1k to $25k,3. Early Revenue,I invest in Edge AI companies and the ecosystem that supports these companies,shagun@jindal.com
VI Partners VC firm,Austria France +3,$1M to $5M,3. Early Revenue 4. Scaling,We invest in Healthcare & Technology,hello@vipartners.com
Maxime Larrat Solo angel,Côte d'Ivoire Kenya +17,$10k to $5M,3. Early Revenue 4. Scaling +1,"I invest in Impact, CleanTech and B2B software startups.
I commit up to 100K€ per deal but if needed I syndicate with...",maxime@larrat.com
Vibranium.VC VC firm,USA,$200k to $500k,3. Early Revenue 4. Scaling,"We invest in:
$30k+ MRR on the US market (with incorporated US entity)
Valuation CAP: max $25 Mln
B2B SaaS (Industry...",vibraniumvc@gmail.com
MetaProp Ventures VC firm,USA,$500k to $3M,3. Early Revenue 2. Prototype,We invest in PropTech and Construction Tech exclusively at the Seed and Series A,team@metaprop.com
Sente Ventures VC firm,USA Turkey +1,$100k to $1M,3. Early Revenue 4. Scaling +1,"We invest in Technology-driven innovation for the future of food, agriculture, water, and general human wellbeing. We...",sente@gmail.com
Matthew Glassanos Solo angel,USA,$25k to $50k,1. Idea or Patent,"I invest in early stage founders passionate about changing the world, agnostic of...",matthew@glassanos.com
Mitchell Fasanya Solo angel,USA UK,$10k to $50k,3. Early Revenue 4. Scaling +1,I invest in SaaS both B2B and Consumer.,mitchell@fasanya.com
Act Venture Capital VC firm,Ireland UK +6,$100k to $10M,2. Prototype 3. Early Revenue +1,"We invest in AI/ML and data, business applications, cloud & infrastructure, connectivity & IoT, deep tech, e-commerce,...",team@actventure.com
Sony Innovation Fund Corporate VC,USA Israel +1,$250k to $10M,3. Early Revenue 4. Scaling,"We invest globally in startups that are adjacent to Sony's core business. Areas include Mobility, Health, Deeptech,...",sonyinnovationfundcorporatevc@gmail.com
"Tenity Incubator, Accelerator",Singapore Switzerland +1,$54k to $54k,1. Idea or Patent 2. Prototype +1,"We invest in pre-seed startups with a MVP or prototype and founding team in place. Primarily within fintech, insurtech,...",contact@tenityubatoraccelerator.com
Network VC VC firm,Ukraine USA +2,$100k to $300k,3. Early Revenue 4. Scaling,We invest in Startups in AI and Deeptech with close to $1M ARR,team@networkvc.com
Vanagon Ventures VC firm,Germany,$100k to $500k,1. Idea or Patent 2. Prototype +1,We invest in B2B software and climate fintechs transforming corporate digital and climate challenges from a cost burden...,invest@vanagon.com
CRECI Ventures VC firm,USA,$250k to $2M,4. Scaling 3. Early Revenue,"We invest in proptech and marketplaces with demonstrable traction (>$10K MRR), and more broadly across nearly all...",creci@gmail.com
SoundBoard Venture Fun... VC firm,USA,$50k to $250k,2. Prototype 3. Early Revenue,"We invest in seed stage companies at USD $5-10M pre (max is $15M post money valuation)

hardware
software
IOT
B2B or...",team@soundboardventurefun.com
Chandigarh Angel Netwo... Angel network,UAE India +1,$100k to $400k,1. Idea or Patent 2. Prototype +1,We invest in early-stage Indian companies across all industries and verticals.,hello@chandigarhangelnetwo.com
Tremis Capital Angel network,USA India +4,$50k to $250k,3. Early Revenue 2. Prototype +1,"We invest in fintech, web3, SaaS, blockchain, gaming, health tech, enterprise tech, consumer internet, marketplaces...",tremis@gmail.com
Form Life Ventures VC firm,USA Israel +2,$500k to $2M,3. Early Revenue 4. Scaling,"We invest in tech-enabled health, wellness, and longevity companies to keep people...",hello@formlife.com
VGC Partners VC firm,USA Germany +2,$200k to $12M,3. Early Revenue 4. Scaling +1,"We invest in consumer, digital media and technology companies from Seed to Series B. EIS and non-EIS investment...",info@vgcpartners.com
Sur Ventures Family office,USA Argentina +2,$50k to $700k,1. Idea or Patent 2. Prototype +1,We invest in companies that develop technology we find both innovative and...,contact@sur.com
Joyful Ventures VC firm,USA,$150k to $250k,3. Early Revenue 2. Prototype +1,We invest globally in alt protein startups at the pre-seed and seed stage.,info@joyful.com
E²JDJ VC firm,USA UAE +14,$200k to $1M,1. Idea or Patent 2. Prototype +3,We invest in early-stage sustainable food and agriculture technology and science ventures. We back talented founders...,e²jdj@hotmail.com
Michael Olafusi Solo angel,Canada USA,$10k to $200k,3. Early Revenue,I invest in technology companies in North America.,michael@olafusi.com
2|Twelve VC firm,USA,$100k to $300k,2. Prototype 3. Early Revenue,"We invest in B2B,Enterprise, SaaS, B2B Fintech at seed stage.",team@2twelve.com
Excellis Holding VC firm,France Germany +3,$200k to $500k,3. Early Revenue 2. Prototype +1,"We invest in industrial, cleantech and medical technology companies founded, co-founded or led by Italian researchers...",contact@excellisholding.com
Alpha Intelligence Cap... VC firm,Canada USA +13,$1M to $10M,3. Early Revenue 4. Scaling +1,We invest in companies with deep expertise in the algorithmic sciences - Artiﬁcial Intelligence/Machine Learning...,contact@alphaintelligencecap.com
Distributed Ventures VC firm,USA Canada,$1M to $7M,1. Idea or Patent 2. Prototype +2,"We invest in Insurtech, Fintech, Health & Benefits and HR Tech in the Seed and Series A...",team@distributed.com
Giancarlo Vergine Solo angel,France Italy +1,$5k to $100k,2. Prototype 3. Early Revenue +1,"I invest in pre-seed and seed startups with an impacting innovation and a technology soul.

SaaS, Foodtech, Healthtech,...",giancarlo@vergine.com
Tom Fehring Solo angel,USA,$5k to $50k,1. Idea or Patent 2. Prototype +1,"I invest in early-stage fintech, insurtech, and proptech.",tom@fehring.com
Night Ventures VC firm,USA,$250k to $500k,2. Prototype 1. Idea or Patent +1,"We invest in marketplaces, consumer technology, eCommerce, gaming, fintech, health tech, wellness, edtech, consumer...",team@night.com
SinWave Ventures VC firm,USA UK +1,$200k to $10M,2. Prototype 3. Early Revenue +2,"We invest in the following areas:
• Data and Analytics: We look for data ingest technologies, developer tooling for...",info@sinwave.com
3CC Third Culture Capi... VC firm,USA France +2,$250k to $2M,3. Early Revenue 4. Scaling +2,We invest in diverse founders who innovate at the intersection of culture and healthcare...,3ccthirdculturecapi@hotmail.com
Juan Daniel Minguez Solo angel,USA France +3,$5k to $10k,1. Idea or Patent 2. Prototype +1,"I invest in B2C&DTC business models within Europe. Special eye for Health, Fintech, Fashion and Food tech...",juan@danielminguez.com
TGFS Technologiegründ... VC firm,Germany,$100k to $1.5M,1. Idea or Patent 2. Prototype +2,We invest in startups and young companies in the high technology area headquartered or located in the State of Saxony /...,contact@tgfstechnologiegründ.com
Anchorless Bangladesh VC firm,Bangladesh,$200k to $1M,3. Early Revenue 4. Scaling,We invest in Bangladeshi founders and startups. We are pretty much sector agnostic and invest mostly in seed and later...,team@anchorlessbangladesh.com
Alumni Ventures VC firm,USA Canada +10,$100k to $10M,1. Idea or Patent 2. Prototype +4,"We invest in companies at all stages, across all regions, and in (almost) all sectors. Our check size ranges from $100K...",team@alumni.com
Luca Franchini Solo angel,USA Austria +17,$5k to $100k,1. Idea or Patent 2. Prototype +1,"I invest in robust business models within retail, consumer goods, and real estate sectors, leveraging their resilience,...",luca@franchini.com
Idekapital VC firm,Norway Denmark +7,$1M to $10M,4. Scaling 3. Early Revenue +1,We invest in B2B software or software-enabled products and solutions. We invest in companies with Norwegian founders or...,invest@idekapital.com
Inovo Venture Partners VC firm,USA Albania +16,$200k to $5M,2. Prototype 3. Early Revenue +1,"We invest in early-stage, post-traction startups with ties to Poland or the CEE...",info@inovoventurepartners.com
Ganas Ventures VC firm,Argentina Belize +22,$100k to $100k,1. Idea or Patent 2. Prototype +2,We invest in pre-seed and seed Web 2 and Web 3 community-driven startups in the US and Latin...,contact@ganas.com
Precursor Ventures VC firm,Kenya Nigeria +4,$100k to $500k,2. Prototype 3. Early Revenue,"We invest in hardware and software companies at the earliest stage of their development based in the U.S., Canada,...",precursor@hotmail.com
"EU Incubator Hive Incubator, Accelerator",Cyprus Turkey,$10k to $50k,1. Idea or Patent 2. Prototype +1,"We incubate IoT, web3,fintech",euubatorhiveubatoraccelerator@gmail.com
212 VC firm,Turkey Romania +14,$1M to $5M,4. Scaling 5. Growth,We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early...,212@hotmail.com
Van Wickle Ventures VC firm,USA,$10k to $50k,3. Early Revenue 2. Prototype +3,We invest in Brown/RISD affiliated founders across all stages and industries.,team@vanwickle.com
Black Capital Ventures VC firm,Norway Sweden +2,$100k to $1M,1. Idea or Patent 2. Prototype,We invest in technology focused startups preferably within deep-tech.,team@black.com
Refashiond Ventures VC firm,USA,$25k to $1M,3. Early Revenue 4. Scaling +1,"We invest in startups reinventing global, industrial supply chains through scalable networks, platforms, ecosystems,...",refashiond@hotmail.com
Ring Capital VC firm,France,$3.5M to $18M,5. Growth,We invest by acquiring minority interests of 3M€ to 15M€ in tech and digital companies with an annual turnover of...,invest@ring.com
Runa Capital VC firm,Canada USA +14,$1M to $10M,3. Early Revenue 4. Scaling,"We invest in 3 target areas:
- enterprise software/cloud business software
- deep tech (AI/ML, open-source, middleware,...",hello@runa.com
Future Positive Capita... VC firm,France UK +12,$200k to $3M,3. Early Revenue 2. Prototype,We invest in companies using technology to tackle pressing global challenges,info@futurepositivecapita.com
Chasing Rainbows VC firm,Canada USA +2,$25k to $300k,3. Early Revenue,We invest in pre-seed technology and technology adjacent companies led by underrepresented LGBTQ+ founders that exhibit...,hello@chasingrainbows.com
Creadev VC firm,Kenya Canada +3,$3M to $30M,4. Scaling 5. Growth,"We invest in 3 categories:
1. Food : AgTech, FoodTech, Aquaculture, Vegetal Verticals, Future of Food Chain
2....",invest@creadev.com
Act Venture Partners VC firm,Denmark Finland +7,$100k to $1M,3. Early Revenue 4. Scaling,We invest in European tech entrepreneurs at an early stage.,hello@actventurepartners.com
Prithvi Ventures VC firm,USA Singapore +4,$100k to $9.5M,2. Prototype 3. Early Revenue +3,We invest in climate-focused startups,contact@prithvi.com
Brad Collins Solo angel,USA,$1k to $10k,2. Prototype 3. Early Revenue,"I invest in B2B SaaS, primarily HR Tech / Work Tech.",brad@collins.com
Asif Iqbal Solo angel,USA,$5k to $100k,1. Idea or Patent 2. Prototype +1,"I invest in Tech, AI, SaaS for founders in the San Francisco area.",asif@iqbal.com
Accelerate Venture Par... Angel network,USA,$100k to $500k,3. Early Revenue 4. Scaling,"We invest in early-stage, high-growth companies in Wichita and the Midwest.",contact@accelerateventurepar.com
Lego Ventures Corporate VC,USA UK +11,$1M to $10M,3. Early Revenue 4. Scaling +1,We invest in start-ups that embody the idea of 'learning through play' and help build 21st Century Skills across Edtech...,hello@legocorporatevc.com
Trive VC VC firm,Singapore Malaysia +4,$500k to $5M,3. Early Revenue 4. Scaling,"We invest in: Agri, Food, Healthcare, Mobility, Education, Manufacturing, AI,...",trivevc@gmail.com
Banana Capital VC firm,USA Canada +18,$25k to $300k,2. Prototype 1. Idea or Patent +4,We invest in consumer and bottoms-up enterprise products,hello@banana.com
Bullish VC firm,USA,$250k to $500k,1. Idea or Patent 2. Prototype +1,We invest in early-stage consumer companies in search of remarkability.,contact@bullish.com
Schematic Ventures VC firm,USA Canada,$1M to $1.5M,1. Idea or Patent 2. Prototype +1,"We invest in technology companies within supply chain, manufacturing, commerce infrastructure & digital industrial...",schematic@gmail.com
Jefferies VC firm,USA,$200k to $2M,1. Idea or Patent 2. Prototype +2,"We invest in software companies (fintech, AI, SaaS, consumer, media, healthcare) at the earliest...",contact@jefferies.com
Aperio Partners VC firm,India,$150k to $450k,3. Early Revenue 4. Scaling,"We invest in companies across consumer tech, fintech, healh tech, mobility/logistics, and SaaS, deeptech...",aperiopartners@gmail.com
Go to Eleven Entertain... PE fund,USA,$500k to $3M,1. Idea or Patent,"We invest in songwriters and other music creators, partnering with them to grow their musical talent and grow the value...",hello@gotoelevenentertainpefund.com
Geometry Venture Devel... VC firm,USA Germany +2,$25k to $200k,2. Prototype 3. Early Revenue,"We invest in up to $250K in early-stage technology startups. We are interested in algorithms, platform tech, materials...",geometryventuredevel@hotmail.com
Techne Infiniti Ventur... VC firm,USA UK +97,$50k to $1M,1. Idea or Patent 2. Prototype +1,"We invest in hospitality technology (accommodation, food & beverage, travel & tourism, recreation, entertainment and...",team@techneinfinitiventur.com
"CSGo Hub (Crypto Serum... Incubator, Accelerator",Azerbaijan India +20,$10k to $3M,2. Prototype 3. Early Revenue +3,We incubate web3 projects; Sector Agnostic: AI / RWA / GameFi / DePin / BRC20 / DeFi / L0 / L2...,invest@csgohubcryptoserumubatoraccelerator.com
Newzone Ventures VC firm,Austria UK +27,$500k to $10M,4. Scaling 5. Growth,"We invest in tech-enabled disruptive businesses with the aim to be a supportive and hands-on partner. 
Our focus is on...",info@newzone.com
Dwarves Ventures VC firm,Vietnam UK +3,$20k to $80k,1. Idea or Patent 2. Prototype +1,We invest in bootstrappers & early stage tech founders.,hello@dwarves.com
Neva SGR VC firm,Austria France +10,$4.5M to $12M,3. Early Revenue 4. Scaling +2,We invest in Italian and global B2B Fintech and Deeptech startups in Series A+...,nevasgr@gmail.com
Recursive Ventures VC firm,USA Israel,$300k to $750k,1. Idea or Patent 2. Prototype +1,We invest in US and Israeli Pre-seed and Seed Tech Startups disrupting industries through use of Data and Artificial...,team@recursive.com
Digital Mission Ventur... Angel network,Singapore Indonesia +4,$50k to $100k,3. Early Revenue 2. Prototype,We invest in faith driven founders who want to create scalable Kingdom/ Redemptive Impact across all...,hello@digitalmissionventur.com
Lightship Capital VC firm,USA,$250k to $500k,3. Early Revenue 4. Scaling,"We invest in underrepresented founders across the Midwest and South building companies in AI/ML, Healthtech, CPG,...",contact@lightship.com
Okta Ventures Corporate VC,USA Israel +1,$200k to $1M,1. Idea or Patent 2. Prototype +4,"We invest in identity, privacy, and security startups",oktacorporatevc@hotmail.com
"Centrepolis Accelerato... Incubator, Accelerator",USA Israel +8,$50k to $150k,2. Prototype 3. Early Revenue +1,"We invest in early-stage and growth stage i4.0, cleantech, climatech, and circular economy businesses and drive...",info@centrepolisacceleratoubatoraccelerator.com
FSB Capital VC firm,Vietnam Russia +10,$10k to $150k,1. Idea or Patent 2. Prototype +1,We invest in early-stage blockchain startups with a check size under $150k.,team@fsb.com
FEMSA Ventures Corporate VC,Mexico Brazil +5,$500k to $5M,3. Early Revenue 4. Scaling,We invest in companies that can clearly benefit from leveraging collaboration opportunities with our business platforms...,info@femsacorporatevc.com
RPS Ventures VC firm,Argentina Australia +37,$5M to $20M,4. Scaling 5. Growth +1,"We invest in high-growth (50%+) software startups with $5-10M+ ARR, proven product-market fit, and scalable business...",rps@gmail.com
Starburst Ventures VC firm,Canada USA +4,$200k to $1M,1. Idea or Patent 2. Prototype +1,"We invest in the fearless, building our future Aeropsace & Defense. We invest in the aviation, space, and defense...",starburst@gmail.com
Volpe Ventures VC firm,UK USA +8,$10k to $100k,1. Idea or Patent 2. Prototype +1,We invest in underrepresented founders and founding teams building companies with...,team@volpe.com
John Simon Solo angel,USA,$1k to $50k,3. Early Revenue,"I invest in:

People > Products
Niche > Mass
Early > Growth
Focused > unaborbed",john@simon.com
Striking Markets Angel network,USA India +31,$10k to $100k,2. Prototype 3. Early Revenue,"We invest in FinTech, blockchain, entertainment and the creator economy. We invest in early stage; pre-seed, seed and...",strikingmarkets@hotmail.com
Raise Ventures VC firm,France UK +6,$500k to $7M,3. Early Revenue 4. Scaling,"We invest in growing innovative technological companies from Seed to Series B (lead or co-lead). 

We are generalists...",hello@raise.com
Ariel Savannah Angel P... Angel network,USA,$100k to $2M,2. Prototype 3. Early Revenue,"We invest in early-stage technology companies offering proprietary, disruptive innovations with significant growth...",info@arielsavannahangelp.com
UDHC Other,USA UK +10,$50k to $2M,1. Idea or Patent 2. Prototype +1,We invest in early-stage web3/blockchain/crypto projects that build on top of established DeFi ecosystems and help...,contact@udhcother.com
